SN_ID,LSST-g,LSST-r,LSST-i
SN000001,0.16122581865068392,0.079555814627035,0.12735410408417688
SN000002,0.1167793102436835,0.23850696231616467,0.20821049886015577
SN000003,0.052174148440441215,0.0945077500529911,0.12605992750583042
SN000004,0.07370967045402382,0.06204202956056495,0.12345736589598832
SN000005,0.014485341473445254,0.07836582299007334,0.18742783336748609
SN000006,0.13813398699782603,0.10836818858777983,0.08323190780930213
SN000007,0.09796247106626456,0.1338877399070696,0.1053082193080861
SN000008,0.05187561981800047,0.06137514572203376,0.1172218597207729
SN000011,0.1241416475954339,0.08098291094007232,0.09563233984052195
SN000012,0.09745140529026546,0.1322172865385236,0.09120210663785142
SN000016,,0.03987940923997029,0.05790979772949728
SN000019,0.15324397317000163,0.170669791617416,0.21491440162368472
SN000020,0.01827398971111423,0.045625086484454416,0.14895212642154412
SN000021,0.04278588029250056,0.12432042583629828,0.10327225641565883
SN000022,0.08700314080259364,0.11897516696182246,0.13810764428701225
SN000023,0.11910186593377686,0.15277026270201546,0.1668669367896357
SN000024,0.06814502115616174,0.070811799876918,0.03908185390267633
SN000025,0.05924930171753352,0.028455188843565862,0.10541332059383234
SN000027,0.224650117359794,0.12311145149871641,0.11155349825823031
SN000028,0.05362830774024374,0.05297692163873968,0.08073636363853948
SN000031,0.08791493168101062,0.01806722012225934,0.01565635298620515
SN000033,0.10598241783224616,0.1087237344674535,0.10149564025088409
SN000037,0.14101653233507597,0.08632282316509238,0.0538621564940611
SN000038,0.0745928554459535,0.04823234257349427,0.08676130708403479
SN000039,0.24013244257764832,0.1565818174669878,0.2128148730547338
SN000041,0.02268928689986305,0.050022496529291735,0.05005568578739974
SN000045,0.08153953546564097,0.057474913006326456,0.05964977516089374
SN000046,0.057695169877771235,0.10666776894134171,0.20076624267698262
SN000047,0.19794998961414195,0.1935609102728766,0.17002090728360356
SN000048,0.06931386047724573,0.13331372185806253,0.11843590882443114
SN000050,0.11230214765166185,0.08801059226761568,0.11737164955718461
SN000051,0.13213379807854048,0.08138273867030382,0.10143655537748938
SN000052,0.02994395871666138,0.0803130232378069,0.09457926022406865
SN000058,0.04894332347530295,0.053953553469295146,0.17479855158114938
SN000059,0.12533324496804177,0.10037768370271628,0.07484820423811012
SN000060,0.15318534958113086,0.08528242670560508,0.14041138177393214
SN000062,0.09655908912782606,0.04796026701507673,0.10060527113548405
SN000063,0.11456206554832078,0.05892839304351578,0.0370255643292765
SN000065,0.09772870172877669,0.11866940003757354,0.10463907110734555
SN000066,0.044188359826065705,0.12170719286419533,0.1920062414517643
SN000068,0.3450908458720439,0.2887921952449505,0.1677171823504775
SN000071,0.09916511261903954,0.09734780721456332,0.12807707328599463
SN000073,0.07061665267263884,0.052651389994654345,0.053278435112373256
SN000074,0.07359160143605734,0.06622446380769621,0.06010441178747815
SN000075,0.12457158488712573,0.09526068194015122,0.06650137223648135
SN000077,0.2601764446367421,0.17906176293602283,0.14744296312971383
SN000078,0.1079762788914091,0.15509910790468864,0.11844309961607324
SN000080,0.023992342718873516,0.028689208242140714,0.04504342074904761
SN000081,0.06308803025351703,0.03088792743557911,0.03668816749326951
SN000082,,0.13641355715222936,0.11509902995276455
SN000085,0.2588834634739304,0.19261923562473693,0.21346470528692793
SN000086,0.129357232273922,0.16057714770732104,0.18466446956077268
SN000087,0.31851620174247713,0.26534604808186163,0.24198602463275828
SN000089,0.11715717710094609,0.21440830156515558,0.03081766598311475
SN000090,0.08400817013631422,0.0803825148770956,0.09659964500340379
SN000094,0.12990343053209585,0.06806584774912314,0.1752475964258385
SN000095,0.2055824741825539,0.2838689520144352,0.24134410130673825
SN000099,0.011770266409773624,0.035820389102594885,0.056023036168221185
SN000100,0.08270389671692915,0.17124953105150223,0.13685464904728703
